case_number,model,feature_rule,weight
1,random_forest,-0.88 < num__age <= -0.23,-0.21374087038781867
1,random_forest,num__fg4 <= -0.60,0.01492002551009493
1,random_forest,-0.22 < num__fg9 <= 0.28,-0.014569386059647483
1,random_forest,num__fg6 > 0.27,0.012305989716686871
1,random_forest,-0.47 < num__Total_Iron <= -0.15,-0.011064209153819613
1,random_forest,num__fg17 <= -0.57,-0.01069641392523515
1,random_forest,-0.63 < num__cu <= -0.07,-0.010504305946729886
1,random_forest,num__fg5 <= -0.33,-0.01043376587570359
1,random_forest,num__fg21 <= -0.16,-0.00804302000653411
1,random_forest,num__fg23 <= -0.44,-0.006379076078638233
1,random_forest,-0.56 < num__Total_VitaminC <= -0.19,0.0062830225042479985
1,random_forest,num__fg11 <= -0.36,-0.0060390386224573635
1,random_forest,num__fg19 <= -0.52,-0.005965787505987274
1,random_forest,num__Total_Fat <= -0.60,0.005725346291849095
1,random_forest,-0.49 < num__fg24 <= -0.24,-0.005128292946373755
1,random_forest,num__fe_smoking_level <= -0.65,-0.004903542481371736
1,random_forest,num__fe_alcohol_level <= -0.96,-0.004326135108547827
1,random_forest,num__fg16 <= -0.66,0.0032834475895145896
1,random_forest,num__fg10 <= -0.50,-0.002872282491282893
1,random_forest,num__Total_Riboflavin <= -0.51,0.0028064844648031896
2,random_forest,-0.23 < num__age <= 0.79,0.14155793889069906
2,random_forest,-0.32 < num__fg5 <= -0.06,0.013668658721206517
2,random_forest,-0.47 < num__Total_Iron <= -0.15,-0.012056441291582225
2,random_forest,-0.17 < num__fg27 <= -0.05,0.011627978376479498
2,random_forest,-0.29 < num__fg7 <= 0.22,0.011061625557230656
2,random_forest,-0.38 < num__fg17 <= 0.24,0.009227567731124731
2,random_forest,-0.66 < num__fg16 <= -0.23,0.00817078798253923
2,random_forest,num__fg4 <= -0.60,0.008095316809540152
2,random_forest,-1.03 < num__sex <= 0.97,-0.007407152930775315
2,random_forest,-0.18 < num__fg6 <= 0.27,0.007150268451985545
2,random_forest,-0.56 < num__Total_VitaminC <= -0.19,0.007129820073148802
2,random_forest,num__fg12 <= -0.27,0.006090164777026889
2,random_forest,num__Total_Riboflavin <= -0.51,0.00563361074939505
2,random_forest,num__fg18 <= -0.72,-0.005243155851730343
2,random_forest,-0.21 < num__fg26 <= 0.31,0.005239491538807148
2,random_forest,-0.58 < num__fg15 <= -0.15,-0.005226197695717061
2,random_forest,-0.23 < num__fg11 <= 0.08,0.005133475142495179
2,random_forest,-0.65 < num__fe_smoking_level <= 0.40,-0.005076656216849481
2,random_forest,-0.49 < num__fg24 <= -0.24,0.0037929348958478455
2,random_forest,-0.96 < num__fe_alcohol_level <= -0.47,-0.003612370882494419
3,random_forest,num__age <= -0.88,-0.35622232611400073
3,random_forest,num__fe_smoking_level <= -0.65,0.012774302834768813
3,random_forest,num__fg3 <= -0.41,0.010941868556700698
3,random_forest,-0.66 < num__fg16 <= -0.23,-0.010142040522962692
3,random_forest,-0.50 < num__fg10 <= -0.16,-0.009989561004165948
3,random_forest,-0.56 < num__Total_VitaminC <= -0.19,0.009329729819151289
3,random_forest,num__fg12 > -0.16,0.008881463829010339
3,random_forest,-0.26 < num__fg19 <= 0.15,0.007761740755479512
3,random_forest,num__fg27 > -0.05,-0.007062881728321804
