case_number,model,feature_rule,weight
1,lightgbm,-0.88 < num__age <= -0.23,-0.18356864446160612
1,lightgbm,-1.03 < num__sex <= 0.97,-0.08334957306032847
1,lightgbm,-0.23 < num__fg9 <= 0.28,-0.013850351114473405
1,lightgbm,-0.46 < num__Total_Iron <= -0.15,-0.013254908494247547
1,lightgbm,-0.59 < num__fg15 <= -0.15,-0.01058823190185171
1,lightgbm,num__fg10 <= -0.51,0.01052063451198208
1,lightgbm,num__fg23 <= -0.44,-0.00875308863066691
1,lightgbm,num__smoke_alcohol_risk <= -0.88,0.008669770001408906
1,lightgbm,num__fg27 <= -0.17,-0.008299468932885551
1,lightgbm,num__csc <= -0.70,-0.0079051739533319
1,lightgbm,num__Total_Riboflavin <= -0.51,-0.007386835474963628
1,lightgbm,-0.49 < num__fg24 <= -0.24,0.007237805560510246
1,lightgbm,num__fg16 <= -0.67,0.0068951133358032685
1,lightgbm,num__Total_CHO > 0.47,-0.006872398750311748
1,lightgbm,num__fg5 <= -0.32,0.006460393630382951
1,lightgbm,num__fg7 <= -0.59,-0.005613745230680583
1,lightgbm,num__fg11 <= -0.35,-0.0054844163706523645
1,lightgbm,-0.63 < num__cu <= -0.05,-0.0053561605521792125
1,lightgbm,num__fg6 > 0.27,0.005345030891420174
1,lightgbm,num__fg21 <= -0.16,-0.004989699919314012
2,lightgbm,-0.23 < num__age <= 0.79,0.1937852560860746
2,lightgbm,-1.03 < num__sex <= 0.97,-0.07775744151522512
2,lightgbm,-0.88 < num__smoke_alcohol_risk <= -0.47,-0.02000586909906731
2,lightgbm,num__fg7 <= -0.59,-0.01582137797039699
2,lightgbm,-0.15 < num__Total_Iron <= 0.24,0.012018128539902806
2,lightgbm,-0.37 < num__fg17 <= 0.25,-0.012008106403243596
2,lightgbm,num__fg16 > 0.34,0.011916968586003369
2,lightgbm,num__Total_Fat > 0.39,0.011161683479846248
2,lightgbm,-0.24 < num__fg24 <= 0.17,-0.010796494259556887
2,lightgbm,-0.57 < num__fg9 <= -0.23,-0.009922362983109844
2,lightgbm,-0.32 < num__fg5 <= -0.06,-0.008097574423455713
2,lightgbm,-0.19 < num__Total_VitaminC <= 0.31,-0.00791688818692124
2,lightgbm,num__fg12 <= -0.27,-0.007333408278925384
2,lightgbm,-0.15 < num__Total_Riboflavin <= 0.30,-0.006471093450344351
2,lightgbm,-0.21 < num__fg4 <= 0.32,-0.004980178381457432
2,lightgbm,-0.20 < num__fg23 <= 0.15,0.004167562652632041
2,lightgbm,num__fg3 <= -0.41,-0.003944655187586756
2,lightgbm,num__fg19 > 0.16,0.003748829375169037
2,lightgbm,-0.70 < num__csc <= 0.25,-0.003563437663636084
2,lightgbm,num__fg6 > 0.27,0.002951584263576219
3,lightgbm,num__age <= -0.88,-0.3955483522936523
3,lightgbm,-1.03 < num__sex <= 0.97,-0.06673902382279072
3,lightgbm,num__Total_VitaminC <= -0.56,-0.0147306677281969
3,lightgbm,num__fg26 <= -0.57,0.01177869536241886
3,lightgbm,num__fg27 > -0.05,0.010846954093248288
3,lightgbm,-0.37 < num__fg17 <= 0.25,-0.010433232815198352
3,lightgbm,num__fg6 > 0.27,-0.010270602288171327
3,lightgbm,-0.20 < num__fg23 <= 0.15,-0.006559547095631175
3,lightgbm,-0.21 < num__fg4 <= 0.32,-0.005347295529542532
3,lightgbm,num__csc <= -0.70,0.0053429655286296755
3,lightgbm,num__fg12 <= -0.27,-0.00427397353661473
3,lightgbm,-0.59 < num__fg15 <= -0.15,-0.004182190239516595
3,lightgbm,-0.15 < num__Total_Iron <= 0.24,-0.0037689214352972654
3,lightgbm,num__smoke_alcohol_risk <= -0.88,0.003011939291780216
3,lightgbm,-0.09 < num__Total_CHO <= 0.47,-0.002733203748956399
3,lightgbm,-0.51 < num__Total_Riboflavin <= -0.15,0.0024073505924322156
3,lightgbm,num__fg3 <= -0.41,0.0020908299480613905
3,lightgbm,-0.26 < num__fg19 <= 0.16,0.0016973714526919848
3,lightgbm,num__fg24 <= -0.49,-0.0015510647686217763
3,lightgbm,num__fg21 <= -0.16,0.001499899939989814
4,lightgbm,-0.88 < num__age <= -0.23,-0.19148837810909605
4,lightgbm,num__sex <= -1.03,0.0738243793146147
4,lightgbm,num__cu <= -0.63,0.01452694239512329
4,lightgbm,-0.19 < num__Total_VitaminC <= 0.31,-0.013515317517892743
4,lightgbm,num__fg21 <= -0.16,-0.011187380859929584
4,lightgbm,num__fg17 > 0.25,0.01081447499259245
4,lightgbm,-0.49 < num__fg24 <= -0.24,0.010184209980226675
4,lightgbm,num__Total_Fat <= -0.61,-0.009962590216829544
4,lightgbm,num__csc <= -0.70,0.008731832188494711
4,lightgbm,num__fg19 <= -0.52,-0.008614378051559696
4,lightgbm,num__fg18 <= -0.72,-0.007538750867448802
4,lightgbm,-0.21 < num__fg4 <= 0.32,-0.005735777611473628
4,lightgbm,num__Total_Iron > 0.24,-0.004553012593444646
4,lightgbm,num__Total_CHO <= -0.61,0.004534544653613028
4,lightgbm,num__smoke_alcohol_risk <= -0.88,-0.004441867281919931
4,lightgbm,num__fg3 <= -0.41,-0.004129207451428939
4,lightgbm,num__fg23 <= -0.44,-0.004070573996211337
4,lightgbm,-0.15 < num__Total_Riboflavin <= 0.30,0.004059521223789237
4,lightgbm,-0.51 < num__fg10 <= -0.16,-0.0037534932706966254
4,lightgbm,num__fg27 <= -0.17,0.002917694293476422
5,lightgbm,-0.88 < num__age <= -0.23,-0.19391602971894684
5,lightgbm,-1.03 < num__sex <= 0.97,-0.0630046168936982
5,lightgbm,num__fg21 <= -0.16,-0.01824305812279847
5,lightgbm,num__Total_CHO > 0.47,-0.01323956042075516
5,lightgbm,num__fg17 <= -0.58,0.01281359721158837
5,lightgbm,num__fg5 > -0.06,0.010921573767451218
5,lightgbm,-0.15 < num__Total_Iron <= 0.24,-0.009758152677883675
5,lightgbm,num__fg23 > 0.15,0.009600352124470113
5,lightgbm,num__csc <= -0.70,0.00861806487949913
5,lightgbm,-0.24 < num__fg24 <= 0.17,-0.008472765114956397
5,lightgbm,-0.88 < num__smoke_alcohol_risk <= -0.47,-0.008151415004740342
5,lightgbm,-0.67 < num__fg16 <= -0.23,-0.007877584515404039
5,lightgbm,-0.15 < num__Total_Riboflavin <= 0.30,-0.007302749511616163
5,lightgbm,num__fg27 > -0.05,0.006538690628890121
5,lightgbm,-0.56 < num__Total_VitaminC <= -0.19,-0.005960516126908881
5,lightgbm,num__fg3 <= -0.41,0.004526527813477529
5,lightgbm,num__fg4 > 0.32,0.004519838061729508
5,lightgbm,-0.57 < num__fg26 <= -0.20,-0.004323662951117443
5,lightgbm,-0.61 < num__Total_Fat <= -0.15,-0.004147791146782569
5,lightgbm,num__fg19 > 0.16,0.002830218126429262
